Outlet,Aspect,Mention_Count,Avg_Sentiment,Positive_Pct,Negative_Pct
Anytime Fitness Choa Chu Kang,Crowdedness,8,0.2520875,62.5,25.0
Anytime Fitness Tampines Central,Overall Experience,18,0.6330856481481482,94.44,0.0
Anytime Fitness Tampines Central,Staff/Service,31,0.6381844086021506,93.55,3.23
Anytime Fitness Tampines Central,Equipment,14,0.3531619047619047,71.43,14.29
Anytime Fitness Tampines Central,Location/Accessibility,8,0.40285,62.5,12.5
Anytime Fitness Tampines Central,Facilities,14,0.41014999999999996,71.43,7.14
Anytime Fitness Tampines Central,Cleanliness,14,0.5835071428571428,85.71,7.14
Anytime Fitness Tampines Central,Crowdedness,4,0.21577499999999997,50.0,25.0
Anytime Fitness Tampines Central,Price/Fees,1,-0.4215,0.0,100.0
Anytime Fitness Tampines Central,Policies/Contract,3,0.36483333333333334,66.67,0.0
Anytime Fitness Tampines Central,Classes/Programs,1,0.4404,100.0,0.0
Anytime Fitness Keppel,Staff/Service,32,0.6042932291666666,87.5,12.5
Anytime Fitness Keppel,Cleanliness,21,0.4448166666666667,76.19,9.52
Anytime Fitness Keppel,Overall Experience,23,0.5559144927536233,82.61,0.0
Anytime Fitness Keppel,Equipment,22,0.3370780303030303,63.64,4.55
Anytime Fitness Keppel,Facilities,16,0.3950010416666666,62.5,6.25
Anytime Fitness Keppel,Policies/Contract,6,0.2781857142857143,50.0,16.67
Anytime Fitness Keppel,Location/Accessibility,5,0.17962,20.0,0.0
Anytime Fitness Keppel,Crowdedness,9,0.12257222222222221,22.22,22.22
Anytime Fitness Keppel,Price/Fees,5,0.07642800000000002,40.0,20.0
Anytime Fitness Keppel,Classes/Programs,3,0.4999666666666666,100.0,0.0
Anytime Fitness Upper Serangoon,Staff/Service,110,0.548935909090909,94.55,2.73
Anytime Fitness Upper Serangoon,Facilities,55,0.50449,83.64,0.0
Anytime Fitness Upper Serangoon,Price/Fees,5,0.38725,80.0,0.0
Anytime Fitness Upper Serangoon,Overall Experience,93,0.6041379569892472,95.7,1.08
Anytime Fitness Upper Serangoon,Crowdedness,54,0.46862407407407397,98.15,0.0
Anytime Fitness Upper Serangoon,Cleanliness,53,0.618603459119497,98.11,0.0
Anytime Fitness Upper Serangoon,Equipment,58,0.4860420258620689,82.76,1.72
Anytime Fitness Upper Serangoon,Location/Accessibility,19,0.2885631578947368,57.89,0.0
Anytime Fitness Upper Serangoon,Classes/Programs,11,0.4423545454545455,72.73,0.0
Anytime Fitness Upper Serangoon,Policies/Contract,3,0.5418333333333333,100.0,0.0
Anytime Fitness Jurong Summit,Staff/Service,141,0.6485340425531916,93.62,3.55
Anytime Fitness Jurong Summit,Cleanliness,74,0.5942231981981982,95.95,1.35
Anytime Fitness Jurong Summit,Equipment,111,0.38589012012012014,73.87,7.21
Anytime Fitness Jurong Summit,Facilities,147,0.47251374149659864,80.95,1.36
Anytime Fitness Jurong Summit,Price/Fees,9,0.4087444444444444,88.89,0.0
Anytime Fitness Jurong Summit,Overall Experience,89,0.6115836142322097,94.38,2.25
Anytime Fitness Jurong Summit,Classes/Programs,5,0.5281800000000001,80.0,0.0
Anytime Fitness Jurong Summit,Location/Accessibility,43,0.33933023255813954,67.44,2.33
Anytime Fitness Jurong Summit,Crowdedness,26,0.14820384615384616,46.15,19.23
Anytime Fitness Jurong Summit,Policies/Contract,8,0.63005,100.0,0.0
Anytime Fitness Buona Vista,Crowdedness,58,0.3507248275862068,63.79,5.17
Anytime Fitness Buona Vista,Price/Fees,21,0.44878253968253967,76.19,4.76
Anytime Fitness Buona Vista,Equipment,173,0.48099576107899805,82.08,4.62
Anytime Fitness Buona Vista,Facilities,154,0.5314572294372294,84.42,4.55
Anytime Fitness Buona Vista,Location/Accessibility,54,0.42481851851851854,75.93,9.26
Anytime Fitness Buona Vista,Overall Experience,216,0.6276534722222222,96.3,1.85
Anytime Fitness Buona Vista,Staff/Service,333,0.6952578578578579,96.4,0.9
Anytime Fitness Buona Vista,Cleanliness,125,0.6252233333333334,95.2,3.2
Anytime Fitness Buona Vista,Policies/Contract,16,0.4751953125,87.5,6.25
Anytime Fitness Buona Vista,Classes/Programs,19,0.4920473684210527,89.47,0.0
Anytime Fitness Bukit Batok CSC,Staff/Service,67,0.41795639658848616,76.12,20.9
Anytime Fitness Bukit Batok CSC,Facilities,37,0.47735000000000005,78.38,8.11
Anytime Fitness Bukit Batok CSC,Overall Experience,33,0.6231722222222221,90.91,6.06
Anytime Fitness Bukit Batok CSC,Cleanliness,30,0.5858116666666666,96.67,3.33
Anytime Fitness Bukit Batok CSC,Equipment,35,0.3904104761904762,82.86,8.57
Anytime Fitness Bukit Batok CSC,Crowdedness,15,0.28023666666666663,53.33,6.67
Anytime Fitness Bukit Batok CSC,Policies/Contract,11,0.048530303030303014,54.55,45.45
Anytime Fitness Bukit Batok CSC,Location/Accessibility,8,0.30325,62.5,25.0
Anytime Fitness Bukit Batok CSC,Price/Fees,19,0.19851973684210522,57.89,26.32
Anytime Fitness Bukit Batok CSC,Classes/Programs,3,0.42416666666666664,100.0,0.0
Anytime Fitness MacPherson Mall,Equipment,44,0.4930310606060606,81.82,0.0
Anytime Fitness MacPherson Mall,Facilities,41,0.5512971544715447,85.37,0.0
Anytime Fitness MacPherson Mall,Overall Experience,54,0.6151824074074074,94.44,3.7
Anytime Fitness MacPherson Mall,Classes/Programs,25,0.5112473333333334,84.0,0.0
Anytime Fitness MacPherson Mall,Staff/Service,82,0.6878692073170732,97.56,1.22
Anytime Fitness MacPherson Mall,Cleanliness,42,0.6724166666666667,100.0,0.0
Anytime Fitness MacPherson Mall,Location/Accessibility,19,0.4411157894736842,68.42,15.79
Anytime Fitness MacPherson Mall,Crowdedness,15,0.3952866666666667,60.0,6.67
Anytime Fitness MacPherson Mall,Price/Fees,7,0.4806571428571429,71.43,0.0
Anytime Fitness MacPherson Mall,Policies/Contract,8,0.3168,62.5,12.5
Anytime Fitness Guillemard,Equipment,3,0.23145555555555555,66.67,0.0
